ConditionNr,DeviceStd,ASL,SNR,Speech Percentage,Duration
1,AirPods,-28.271973933824224,40.98258294819373,0.7703037891026291,14.729191232048375
1,Headphones,-35.65592758430162,67.75987742914978,0.7712342152621956,15.970721088435374
1,Laptop,-18.786145697764702,41.621970748463795,0.7691119997178862,15.573941690962098
1,Smartphone,-25.432485982334924,49.67073965232952,0.8239557179107843,14.596265873015872
2,AirPods,-26.36580188752138,40.30021157292265,0.7920583300054259,15.500595616024187
2,Headphones,-45.72462112648745,64.16507337968618,0.783147031987272,15.223658049886621
2,Laptop,-17.559752921167156,39.05179660132129,0.7376095710184319,14.800357520786092
2,Smartphone,-24.844347748712526,63.355596378984465,0.8975497057453369,13.855785552316163
3,AirPods,-26.220135887408873,44.71097776466952,0.8049854842591515,13.49977664399093
3,Headphones,-40.17096305720004,73.35262124019592,0.7624795144905473,14.21936507936508
3,Laptop,-19.88334564316274,40.028258487438315,0.7380155643755772,14.980265558075082
3,Smartphone,-23.769300079027325,60.98147784835496,0.9053651198584272,14.21724187452759
4,AirPods,-30.825184961517774,40.225934859692124,0.6908067683912836,14.649014361300077
4,Headphones,-40.846684647424375,67.76322952619218,0.761273501086659,15.132781859410432
4,Laptop,-17.891082201562924,41.46602955686614,0.7615867268996817,14.262612244897959
4,Smartphone,-26.104646806839945,57.15963847930817,0.8684677316545052,13.081066326530612
5,AirPods,-26.811020689808405,41.06535262394735,0.814585744800484,14.531488435374149
5,Headphones,-40.63035392635689,64.83520641137362,0.7628707862689951,14.585599395313682
5,Laptop,-22.824664788765734,38.362215138631896,0.6885225526832122,14.857599773242631
5,Smartphone,-23.48312541986549,75.43672787971323,0.9636531032494127,13.218133030990174
6,AirPods,-24.69814078840769,38.69728438934258,0.8025507697073717,13.422933106575965
6,Headphones,-38.83196386379807,80.9240278412263,0.8421175406869554,12.823771946873988
6,Smartphone,-18.406189109759268,51.78485651306928,0.9571733705647888,12.91391882086168
7,AirPods,-24.714435618455987,39.29983284760587,0.8242880941541444,12.997974603174603
7,Headphones,-34.526049002601795,49.48440739545115,0.8478161747504581,12.878627146096534
7,Smartphone,-21.984831980522177,51.888978390496774,0.9179665824441461,12.93985185185185
8,AirPods,-24.40042354300632,38.57884448273378,0.8346951082689881,12.61909387755102
8,Headphones,-36.46572568533725,70.40925307736657,0.878688144265665,13.653944282474896
8,Smartphone,-18.361726221679756,54.13828461313996,0.9491327177983387,13.192058956916101
9,AirPods,-27.500425243634627,41.97490893145988,0.7625416148078087,14.168743764172337
9,Headphones,-39.6648526775784,89.41884999297,0.9059327888531451,14.032001700680272
9,Smartphone,-21.260763576508424,57.49992734141428,0.9319498587260518,13.308801020408163
