CategoryCol,Category,Dataset,Metric,N,Mean,SD,Median,Q1,Q3,IQR
MatchedCondition,Park,Crowdsourced,ASL,96.0,-24.89352083333333,4.154279305358491,-23.9475,-25.467,-22.823500000000003,2.643499999999996
MatchedCondition,Park,Crowdsourced,Duration,96.0,14.468479166666667,3.5268715941563094,14.3485,12.40325,16.63025,4.227
MatchedCondition,Park,Crowdsourced,SpeechPercentage,96.0,85.34270833333333,5.970061179121713,86.05,81.75,88.92500000000001,7.175000000000011
MatchedCondition,Park,Crowdsourced,Loudness,96.0,-24.038052083333337,3.6423843213789495,-23.584,-24.80775,-22.24625,2.5614999999999988
MatchedCondition,SubwayStation,Supervised,ASL,0.0,,,,,,
MatchedCondition,SubwayStation,Supervised,Duration,0.0,,,,,,
MatchedCondition,SubwayStation,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,SubwayStation,Supervised,Loudness,0.0,,,,,,
MatchedCondition,SubwayStation,Crowdsourced,ASL,94.0,-22.99482978723404,5.072195411584291,-22.865000000000002,-24.35175,-21.223750000000003,3.1279999999999966
MatchedCondition,SubwayStation,Crowdsourced,Duration,94.0,16.456,2.368456731781812,16.154,14.54575,17.959500000000002,3.413750000000002
MatchedCondition,SubwayStation,Crowdsourced,SpeechPercentage,94.0,86.10212765957446,4.727020901919487,86.35,82.64999999999999,89.2,6.550000000000011
MatchedCondition,SubwayStation,Crowdsourced,Loudness,94.0,-22.88956382978723,5.038814463225123,-22.664,-24.15875,-20.858,3.3007500000000007
MatchedCondition,CafeRestaurant,Supervised,ASL,0.0,,,,,,
MatchedCondition,CafeRestaurant,Supervised,Duration,0.0,,,,,,
MatchedCondition,CafeRestaurant,Supervised,SpeechPercentage,0.0,,,,,,
MatchedCondition,CafeRestaurant,Supervised,Loudness,0.0,,,,,,
MatchedCondition,CafeRestaurant,Crowdsourced,ASL,96.0,-21.934770833333335,4.064233329603031,-22.1905,-24.1765,-19.6045,4.571999999999999
MatchedCondition,CafeRestaurant,Crowdsourced,Duration,96.0,9.705427083333333,1.3076569946587004,9.4285,8.740749999999998,10.579,1.8382500000000022
MatchedCondition,CafeRestaurant,Crowdsourced,SpeechPercentage,96.0,79.33749999999999,5.321540141132471,80.05000000000001,76.8,82.3,5.5
MatchedCondition,CafeRestaurant,Crowdsourced,Loudness,96.0,-21.63405208333333,3.9308026108773033,-21.996499999999997,-24.12175,-18.943,5.178749999999997
