fileName,fileDurationInSec,fileSamplerate,audioChannels,bytesPerSample,compression,numberOfFrames,numberOfSpeechFramesWebRTC,percentageOfSpeechFramesWebRTC,speechDurationInSecWebRTC,speechPercentageP56,speechDurationP56,LoudnessITU-R1770-4,ActiveSpeechLevelP56,BandwiseBandwidthEstimation,ShortAmplitudeReversalCounts,deviceAndMicrophone
B03_d214_Gm_R01_S05_tr.wav,11.901,48000,1,2,not compressed,396,279,0.705,8.37,0.732,8.711,-26.37,-25.176,FB,0,"Laptop, built-in mic"
B03_981d_Gm_R06_S03_tr.wav,18.858,48000,1,2,not compressed,628,540,0.86,16.2,0.77,14.526,-19.861,-19.864,WB,0,"Smartphone, built-in mic"
B03_3b52_Gf_R04_S02_tr.wav,14.821,48000,1,2,not compressed,494,426,0.862,12.78,0.872,12.924,-25.385,-25.558,FB,0,Laptop with a headset or external mic
B03_e8ef_Gm_R06_S02_tr.wav,14.162,48000,1,2,not compressed,472,381,0.807,11.43,0.828,11.724,-21.255,-20.79,SWB,0,"Smartphone, built-in mic"
B03_c8da_Gm_R04_S02_tr.wav,13.656,48000,1,2,not compressed,455,348,0.765,10.44,0.815,11.124,-21.396,-20.824,WB,0,"Smartphone, built-in mic"
B03_027e_Gm_R03_S04_tr.wav,15.749,48000,1,2,not compressed,524,389,0.742,11.67,0.8,12.602,-22.261,-21.676,SWB,0,"Smartphone, built-in mic"
B03_a071_Gm_R09_S03_tr.wav,13.926,48000,2,2,not compressed,464,401,0.864,12.03,0.903,12.582,-22.211,-26.15,WB,0,"Smartphone, built-in mic"
B03_4107_Gf_R07_S05_tr.wav,9.407,48000,1,2,not compressed,313,243,0.776,7.29,0.772,7.263,-22.078,-21.903,FB,0,"Laptop, built-in mic"
B03_69d3_Gm_R01_S01_tr.wav,20.609,48000,1,2,not compressed,686,532,0.776,15.96,0.79,16.274,-25.808,-25.386,WB,0,Laptop with a headset or external mic
B04_8c5c_Gf_R01_S03_tr.wav,19.495,48000,1,2,not compressed,649,529,0.815,15.87,0.835,16.275,-18.646,-18.067,SWB,0,"Smartphone, built-in mic"
B03_f9a4_Gm_R06_S05_tr.wav,10.331,48000,1,2,not compressed,344,274,0.797,8.22,0.808,8.343,-26.72,-25.767,FB,0,"Laptop, built-in mic"
B03_19c0_Gm_R04_S05_tr.wav,9.151,48000,1,2,not compressed,305,211,0.692,6.33,0.745,6.813,-24.734,-24.104,FB,0,"Laptop, built-in mic"
B03_800e_Gm_R06_S04_tr.wav,14.348,48000,1,2,not compressed,478,354,0.741,10.62,0.795,11.4,-26.082,-25.536,FB,0,"Laptop, built-in mic"
B03_a6e8_Gm_R04_S02_tr.wav,16.238,48000,2,2,not compressed,541,437,0.808,13.11,0.865,14.046,-19.151,-21.786,SWB,0,"Laptop, built-in mic"
B03_f120_Gf_R05_S01_tr.wav,20.558,48000,1,2,not compressed,685,567,0.828,17.01,0.888,18.254,-23.131,-22.564,NB,0,"Laptop, built-in mic"
B03_b65a_Gm_R11_S05_tr.wav,8.475,48000,1,2,not compressed,282,210,0.745,6.3,0.739,6.263,-20.217,-19.683,SWB,0,"Smartphone, built-in mic"
B03_2e55_Gm_R10_S04_tr.wav,14.905,48000,2,2,not compressed,496,418,0.843,12.54,0.845,12.594,-17.072,-19.596,FB,0,"Laptop, built-in mic"
B04_4605_Gm_R05_S01_tr.wav,17.2,48000,1,2,not compressed,573,456,0.796,13.68,0.853,14.674,-25.283,-24.578,FB,0,Laptop with a headset or external mic
B03_4c63_Gf_R08_S02_tr.wav,12.964,48000,2,2,not compressed,432,381,0.882,11.43,0.885,11.471,-16.961,-20.003,FB,0,Laptop with a headset or external mic
B03_0db3_Gm_R04_S01_tr.wav,16.897,48000,1,2,not compressed,563,465,0.826,13.95,0.908,15.335,-24.348,-24.193,FB,0,"Laptop, built-in mic"
B04_7a99_Gf_R05_S01_tr.wav,17.655,48000,1,2,not compressed,588,555,0.944,16.65,0.925,16.339,-23.077,-22.575,SWB,0,"Smartphone, built-in mic"
B03_6f03_Gf_R11_S05_tr.wav,8.189,48000,1,2,not compressed,272,211,0.776,6.33,0.768,6.293,-20.654,-20.799,FB,0,"Laptop, built-in mic"
B03_4a15_Gm_R05_S01_tr.wav,16.44,48000,2,2,not compressed,547,445,0.814,13.35,0.83,13.645,-22.065,-24.984,WB,0,Laptop with a headset or external mic
