File_Name,ParticipantID,Device,ConditionNr,ASL,SNR,Speech Percentage,Duration,Bandwidth
P00_M_C1_Smartphone_S01.wav,P00,Smartphone (iPhone 11 Pro),1,-22.668975120086387,44.19977230878008,0.798229400905482,14.506666666666666,FB
P00_M_C1_Smartphone_S02.wav,P00,Smartphone (iPhone 11 Pro),1,-21.694836529658467,40.47760093524455,0.7830231819989574,16.256009070294784,FB
P00_M_C1_Smartphone_S03.wav,P00,Smartphone (iPhone 11 Pro),1,-20.327260420482656,39.056915366633525,0.8023897483451535,17.151995464852607,SWB
P00_M_C1_Smartphone_S04.wav,P00,Smartphone (iPhone 11 Pro),1,-20.75971322647684,39.30263216947749,0.7925587590998983,15.637324263038549,FB
P00_M_C1_Smartphone_S05.wav,P00,Smartphone (iPhone 11 Pro),1,-21.088999437239615,42.66530656634923,0.7544125540181875,9.578662131519277,FB
P00_M_C2_Smartphone_S01.wav,P00,Smartphone (iPhone 11 Pro),2,-27.855359421978857,40.73897463808319,0.8153902920761571,16.184308390022675,NB
P00_M_C2_Smartphone_S02.wav,P00,Smartphone (iPhone 11 Pro),2,-27.386668776830263,44.096534913441005,0.6341764298706154,19.458321995464853,NB
P00_M_C2_Smartphone_S03.wav,P00,Smartphone (iPhone 11 Pro),2,-27.8155858438768,41.611364009924245,0.7841935662674661,16.579047619047618,NB
P00_M_C2_Smartphone_S04.wav,P00,Smartphone (iPhone 11 Pro),2,-27.73125305539104,41.7920516447839,0.7354075359928638,15.975328798185942,NB
P00_M_C2_Smartphone_S05.wav,P00,Smartphone (iPhone 11 Pro),2,-26.637419921416384,45.077015424771474,0.7313876296359633,10.611519274376418,NB
P00_M_C3_Laptop_S01.wav,P00,Laptop (Lenovo ThinkPad X1 Carbon),3,-34.171501773508666,42.44564192723626,0.777741079146451,14.826666666666666,FB
P00_M_C3_Laptop_S02.wav,P00,Laptop (Lenovo ThinkPad X1 Carbon),3,-36.61056035403976,42.94774195640024,0.7312584300672031,15.210657596371885,FB
P00_M_C3_Laptop_S03.wav,P00,Laptop (Lenovo ThinkPad X1 Carbon),3,-35.08656603615124,40.17587463739161,0.7681104708400486,16.85333333333333,FB
P00_M_C3_Laptop_S04.wav,P00,Laptop (Lenovo ThinkPad X1 Carbon),3,-34.25378407029701,41.77837290607731,0.7559494281205288,15.210657596371885,FB
P00_M_C3_Laptop_S05.wav,P00,Laptop (Lenovo ThinkPad X1 Carbon),3,-33.045462913053065,43.97162985552075,0.6882661798083535,9.92,FB
P00_M_C4_AirPods_S01.wav,P00,AirPods,4,-37.44775620714094,39.273790341658575,0.7390530479727696,13.52532879818594,FB
P00_M_C4_AirPods_S02.wav,P00,AirPods,4,-37.50935786887485,40.91201085703645,0.6845494103906772,14.293333333333331,FB
P00_M_C4_AirPods_S03.wav,P00,AirPods,4,-36.48250630657469,40.853024043009405,0.6802346280279791,17.08800453514739,FB
