,ASL,Percentage of Speech,Duration,SNR
count,945.0,945.0,945.0,945.0
mean,-27.041172796529597,0.8392443670729736,13.939230896591441,54.59205752188821
std,8.802150628787052,0.10070165864763041,3.113644285023184,24.30054157729661
min,-55.54448039134335,0.4973506838196323,6.208004535147392,27.96355426079744
25%,-33.910538315605564,0.7726009741303623,12.351995464852608,39.25136226114599
50%,-24.878693368876423,0.8410465783549493,14.506666666666666,42.5757815765605
75%,-19.976502964156506,0.924958792108478,16.0,52.26414986833024
max,-12.675910590705383,0.9940456979197844,22.08,99.0
