DeviceStd,EMPTY,NB,WB,SWB,FB
AirPods,0,0.34594594594594597,0.010810810810810811,0.5837837837837838,0.05945945945945946
Headphones,0,0.0,0.052,0.0,0.948
Laptop,0,0.0,0.9354838709677419,0.0,0.06451612903225806
Smartphone,0,0.014084507042253521,0.0,0.4647887323943662,0.5211267605633803
