,Participant_ID,Gender,Condition,Device,Sentence,File_Name,Remarks,ASL,Percentage of Speech,Duration,Loudness,Bandwidth,SNR
30,P00,M,Campus,AirPods,S01,P00_M_C7_AirPods_S01.wav,wind_noise,-23.474583862618,0.8169101468648686,14.421337868480723,-23.879813371000985,SWB,39.16224910080749
31,P00,M,Campus,AirPods,S02,P00_M_C7_AirPods_S02.wav,wind_noise,-24.352958822348327,0.768652390091299,14.08,-24.68985216386753,SWB,42.11051549157634
32,P00,M,Campus,AirPods,S03,P00_M_C7_AirPods_S03.wav,wind_noise,-24.50034006198932,0.8047458784603638,15.317324263038548,-24.90937440255413,SWB,40.59736774504117
33,P00,M,Campus,AirPods,S04,P00_M_C7_AirPods_S04.wav,wind_noise,-24.56210727890454,0.7872533558233625,13.738662131519275,-24.985054919021668,SWB,41.600206079203936
34,P00,M,Campus,AirPods,S05,P00_M_C7_AirPods_S05.wav,wind_noise,-24.77776582519852,0.7990570248731851,7.936009070294784,-25.231581925811494,SWB,43.38765928000189
35,P00,M,U-Bhf,Smartphone (iPhone 11 Pro),S01,P00_M_C8_Smartphone_S01.wav,,-18.038186957456745,0.9803186831863948,15.168004535147393,-18.04465078544532,SWB,40.50447744455991
36,P00,M,U-Bhf,Smartphone (iPhone 11 Pro),S02,P00_M_C8_Smartphone_S02.wav,,-17.962558011544548,0.9673075456679352,14.63467120181406,-16.881563478003894,FB,38.06799927644456
37,P00,M,U-Bhf,Smartphone (iPhone 11 Pro),S03,P00_M_C8_Smartphone_S03.wav,,-22.32750061566432,0.9622701984123264,14.54934240362812,-21.871998665707228,FB,44.20799818142358
38,P00,M,U-Bhf,Smartphone (iPhone 11 Pro),S04,P00_M_C8_Smartphone_S04.wav,,-21.48115193509202,0.9445481438702312,13.930657596371882,-20.72627876028725,FB,43.39005953624024
39,P00,M,U-Bhf,Smartphone (iPhone 11 Pro),S05,P00_M_C8_Smartphone_S05.wav,,-17.129193502137984,0.9545811455536596,8.703990929705215,-17.03329444106468,FB,99.0
40,P00,M,Mensa,AirPods,S01,P00_M_C9_AirPods_S01.wav,,-24.83151856095306,0.7746668727066537,14.16532879818594,-25.183874658141917,SWB,40.74323749860064
41,P00,M,Mensa,AirPods,S02,P00_M_C9_AirPods_S02.wav,,-25.869681798478243,0.766015299197093,13.013333333333334,-26.261342660548166,SWB,40.35714403626934
42,P00,M,Mensa,AirPods,S03,P00_M_C9_AirPods_S03.wav,,-24.909864708378343,0.8591725917998886,13.61065759637188,-25.11570660068324,SWB,39.187810875707086
43,P00,M,Mensa,AirPods,S04,P00_M_C9_AirPods_S04.wav,,-24.35194824741086,0.7768567013727596,13.951995464852608,-24.836617511017582,SWB,40.7245394218753
44,P00,M,Mensa,AirPods,S05,P00_M_C9_AirPods_S05.wav,,-24.503312546385388,0.7834484349354723,7.978662131519274,-24.829852352133816,SWB,43.97911648767944
45,P01,F,In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),S01,P01_F_C1_Laptop_S01.wav,,-20.12929535095903,0.7978692293011389,16.597324263038548,-17.391831401521017,WB,41.567317844298834
46,P01,F,In the lab doors/windows closed,Laptop (Lenovo ThinkPad X1 Carbon),S02,P01_F_C1_Laptop_S02.wav,,-19.03812840558097,0.759138895082019,16.426666666666666,-16.295285430998344,WB,40.64527031226455
