Device,ASL,Percentage of Speech,Duration,SNR
AirPods,-26.410635527740084,0.7937893105005739,13.889560703560702,40.61497111316779
Headset (Sennheiser PXC 550),-39.00066705155585,0.8273160877299603,14.067942131519274,70.39424491815086
Laptop (Lenovo ThinkPad X1 Carbon),-19.24405543105478,0.742374366088621,14.947922171018945,40.21606159912831
Smartphone (iPhone 11 Pro),-22.351958775735508,0.9136277627186673,13.434059148542046,57.024433591114644
