Dataset,Metric,N,Mean,SD,Median,Q1,Q3,IQR
Supervised,ASL,945.0,-27.0411727965296,8.802150628787048,-24.878693368876423,-33.910538315605564,-19.976502964156506,13.934035351449058
Supervised,Duration,945.0,13.93923089659144,3.113644285023186,14.506666666666666,12.351995464852608,16.0,3.6480045351473915
Supervised,SpeechPercentage,945.0,83.92443670729729,10.070165864763043,84.10465783549493,77.26009741303623,92.4958792108478,15.235781797811569
Supervised,Loudness,945.0,-26.582438268911858,8.95571366829442,-25.231581925811497,-33.28290936732497,-19.35733948098507,13.9255698863399
Crowdsourced,ASL,887.0,-23.62986020293123,4.814587893620892,-23.373,-25.0325,-21.621499999999997,3.4110000000000014
Crowdsourced,Duration,887.0,14.335152198421646,3.430059641277935,14.534,11.962,16.5775,4.615500000000001
Crowdsourced,SpeechPercentage,887.0,83.8935738444194,5.985327561364712,84.89999999999999,80.60000000000001,88.1,7.499999999999986
Crowdsourced,Loudness,887.0,-23.056583990980833,4.576996107423866,-22.96,-24.5305,-21.1595,3.3709999999999987
