,ASL,ASL,ASL,ASL,ASL,ASL,ASL,ASL,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Percentage of Speech,Duration,Duration,Duration,Duration,Duration,Duration,Duration,Duration,SNR,SNR,SNR,SNR,SNR,SNR,SNR,SNR
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Device,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirPods,185.0,-26.410635527740094,3.1367912677151386,-37.50935786887485,-27.629052402473533,-25.206867008176538,-24.40175056817037,-21.60655819210134,185.0,0.793789310500574,0.07412691854382726,0.5892770391879395,0.7503738472943534,0.7962301288094794,0.8421523643034066,0.9557018142744804,185.0,13.889560703560708,3.0379974686346487,7.168004535147392,12.422675736961452,14.489251700680272,15.957324263038547,20.45678004535148,185.0,40.614971113167776,5.543410393099361,31.668167703182228,38.34143936627624,39.83344891463767,42.016544118776295,99.0
Headset (Sennheiser PXC 550),250.0,-39.00066705155586,5.166870231194682,-55.54448039134335,-41.58592376879229,-38.37463928618398,-35.88798572257566,-28.13386790408348,250.0,0.8273160877299601,0.09169904557983352,0.4973506838196323,0.7754869118661186,0.8355276278474726,0.9038493587197152,0.9780023370314213,250.0,14.067942131519274,3.1678581935036494,6.208004535147392,12.399994331065761,14.848004535147393,16.112001133786848,22.08,250.0,70.39424491815085,27.301116722373283,27.96355426079744,44.205820635578775,55.2530375960776,99.0,99.0
Laptop (Lenovo ThinkPad X1 Carbon),155.0,-19.244055431054765,4.769927855290758,-36.82528792623574,-20.116506871566557,-17.677197671074502,-16.864615293256694,-13.284716484523935,155.0,0.7423743660886213,0.07369339542135649,0.5035985931832493,0.6901879332592915,0.7495819977011827,0.7915812363123289,0.8977815635558242,155.0,14.947922171018945,3.053562128874323,7.829342403628118,13.695997732426303,15.551995464852608,16.96,21.58934240362812,155.0,40.21606159912829,2.7728813996589188,33.37833210498385,38.229186496481766,40.26197935129578,41.68524396569347,48.70489352257091
Smartphone (iPhone 11 Pro),355.0,-22.351958775735504,4.788521206209154,-43.27322410694013,-25.618236019418127,-22.067037043294743,-18.350466118581945,-12.675910590705383,355.0,0.9136277627186679,0.07121462399551623,0.6341764298706154,0.8713566126356486,0.9316798519883276,0.9724703807162018,0.9940456979197844,355.0,13.43405914854205,3.0374449088172724,6.656009070294784,11.914659863945579,13.951995464852608,15.466666666666669,21.631995464852608,355.0,57.02443359111462,25.61745721578954,29.158736420026305,39.61887284864563,43.69505636147038,99.0,99.0
